nt	UM	MU
75	0.997103277	3.48E-23
76	2.36E-07	2.82E-09
77	1.58E-09	7.76E-10
78	1.73E-08	1.02E-09
79	2.01E-08	1.24E-09
80	1.91E-09	6.97E-10
81	0.001029569	9.76E-09
82	0.997923848	2.60E-17
83	0.029193878	4.88E-09
84	0.997722966	1.84E-20
85	0.871090989	1.05E-37
86	2.10E-13	6.71E-29
87	0.005780217	4.74E-48
88	7.05E-09	1.32E-24
89	0.001643785	2.54E-16
90	9.57E-26	4.08E-39
91	5.69E-07	9.34E-27
92	4.68E-36	8.44E-51
93	0.002477685	3.62E-17
94	1.28E-12	5.85E-45
95	2.14E-10	1.07E-10
96	1.11E-15	2.76E-27
97	0.744663907	0.018712318
98	0.000388162	2.14E-05
99	2.41E-08	1.40E-05
100	8.95E-15	5.32E-13
101	6.69E-06	1.68E-09
102	1.05E-07	7.81E-05
103	0.000421844	3.36E-05
104	6.38E-18	8.86E-11
105	4.23E-22	2.25E-16
106	6.90E-30	2.25E-16
107	5.41E-32	1.47E-27
108	0.000222371	0.005319385
109	0.001959849	0.032173485
110	1.57E-28	1.03E-20
111	1.16E-53	6.62E-53
112	4.87E-43	9.88E-40
113	2.85E-30	1.63E-07
114	4.44E-29	8.58E-28
115	3.03E-37	6.59E-26
116	6.15E-32	1.09E-06
117	1.08E-56	2.48E-45
118	3.43E-44	2.86E-35
119	1.73E-56	1.32E-24
120	2.69E-49	1.33E-37
121	3.39E-34	1.03E-42
122	7.48E-06	2.36E-06
123	0.767740259	0.002603253
124	2.33E-06	4.78E-07
125	3.27E-51	6.09E-53
126	1.63E-38	2.54E-31
127	2.62E-62	1.45E-30
128	3.11E-37	1.37E-45
129	4.54E-07	2.15E-10
130	7.42E-39	6.38E-17
131	8.52E-58	7.84E-49
132	1.34E-78	3.82E-74
133	1.76E-48	8.99E-39
134	1.07E-35	4.38E-23
135	7.81E-53	3.79E-45
136	4.15E-14	2.43E-08
137	1.51E-73	1.50E-65
138	1.96E-82	2.38E-57
139	4.60E-80	7.61E-74
140	1.35E-74	7.57E-84
141	0.000943913	2.91E-06
142	3.18E-55	4.64E-71
143	0.131312912	2.54E-09
144	1.04E-86	1.35E-89
145	3.16E-36	4.93E-44
146	1.65E-43	1.20E-68
147	4.65E-48	2.27E-35
148	1.06E-22	8.46E-30
149	7.24E-05	2.52E-06
150	2.46E-09	1.14E-09
151	2.27E-24	2.20E-29
152	6.43E-19	3.43E-41
153	5.60E-06	8.62E-15
154	6.76E-13	1.07E-22
155	2.36E-29	4.30E-24
156	2.16E-42	2.24E-42
157	8.21E-38	2.98E-32
158	1.77E-65	2.82E-90
159	1.99E-50	7.69E-67
160	1.11E-102	1.07E-112
161	1.23E-14	6.19E-39
162	9.36E-11	1.22E-32
163	1.20E-15	2.40E-22
164	2.64E-75	4.52E-78
165	2.92E-39	3.72E-44
166	4.77E-25	1.05E-42
167	0.035710324	1.53E-13
168	0.827049239	3.20E-08
169	1.02E-06	4.98E-07
170	0.065253315	0.522072067
171	7.07E-28	5.01E-19
172	3.23E-42	8.44E-51
173	5.08E-38	1.36E-62
174	3.46E-40	4.21E-79
175	1.25E-17	1.37E-33
176	1.61E-07	2.38E-25
177	0.215814234	5.16E-08
178	0.42972074	1.27E-10
179	9.39E-09	6.27E-09
180	1.37E-15	6.04E-24
181	4.14E-19	3.06E-15
182	3.60E-45	1.01E-43
183	8.65E-34	1.13E-36
184	1.96E-100	3.48E-98
185	1.69E-43	5.20E-42
186	1.96E-100	6.05E-97
187	6.48E-39	8.47E-28
188	1.01E-47	1.56E-42
189	2.77E-139	5.07E-109
190	7.89E-65	3.43E-47
191	2.31E-38	6.24E-09
192	2.24E-20	7.22E-13
193	1.45E-15	6.87E-15
194	1.77E-22	3.25E-22
195	1.27E-10	7.15E-09
196	1.81E-34	7.35E-29
197	4.52E-18	3.28E-34
198	1.68E-05	1.49E-05
199	2.76E-06	0.001762895
200	5.38E-12	0.005365309
201	1.18E-82	6.50E-69
202	2.56E-62	7.09E-65
203	4.08E-72	4.00E-60
204	6.05E-97	9.27E-79
205	2.77E-103	1.09E-98
206	8.24E-30	1.38E-23
207	2.31E-15	8.39E-17
208	4.30E-33	2.74E-17
209	1.64E-32	1.10E-21
210	1.78E-48	6.03E-35
211	2.43E-68	4.85E-39
212	2.82E-72	1.17E-41
213	2.03E-72	8.52E-61
214	1.96E-82	1.05E-54
215	2.77E-121	1.75E-97
216	2.90E-79	4.14E-61
217	5.61E-103	1.77E-101
218	2.81E-89	3.82E-74
219	2.90E-31	1.38E-32
220	6.74E-09	2.15E-08
221	4.63E-06	3.30E-07
222	3.82E-41	3.30E-24
223	1.10E-41	5.13E-31
224	1.02E-20	1.20E-25
225	0.01847621	0.009630387
226	4.02E-06	1.01E-06
227	4.78E-07	1.59E-07
228	0.000375689	1.84E-14
229	1.02E-21	2.05E-27
230	2.82E-54	2.72E-29
231	1.01E-42	2.23E-52
232	1.44E-07	8.26E-49
233	0.998671199	2.11E-25
234	0.038174697	2.19E-34
235	2.81E-15	3.53E-28
236	8.35E-50	7.05E-52
237	3.39E-14	5.10E-17
238	7.09E-22	4.50E-18
239	7.88E-26	1.69E-19
240	1.56E-70	1.18E-65
241	6.00E-56	6.00E-56
242	1.35E-89	1.96E-82
243	4.74E-57	1.25E-45
244	7.27E-45	1.80E-41
245	6.36E-39	8.72E-31
246	1.88E-37	2.46E-20
247	4.47E-43	1.22E-13
248	7.78E-27	1.74E-16
249	2.23E-28	7.40E-18
250	2.30E-07	0.998647684
251	2.98E-08	0.004774658
252	9.77E-19	5.50E-07
253	7.46E-41	1.75E-17
254	1.27E-22	3.42E-26
255	0.001211483	0.869647553
256	0.004545811	0.022808656
257	2.03E-21	1.80E-08
258	5.80E-10	0.999408466
259	8.96E-16	2.82E-06
260	2.41E-17	2.71E-06
261	3.47E-42	1.08E-36
262	1.08E-23	3.33E-26
263	1.53E-58	8.26E-68
264	1.90E-128	4.99E-123
265	3.43E-94	2.07E-52
266	1.13E-18	1.26E-28
267	0.008990162	0.000876624
268	3.57E-23	1.37E-18
269	1.55E-46	7.37E-23
270	1.61E-11	1.59E-07
271	1.41E-13	6.08E-21
272	1.04E-11	6.03E-26
273	3.95E-28	6.88E-57
274	3.80E-28	3.49E-58
275	8.96E-11	1.07E-60
276	6.81E-22	8.16E-57
277	1.12E-20	9.72E-61
278	1.37E-34	9.56E-53
279	6.12E-23	2.78E-34
280	1.50E-05	1.72E-14
281	0.99507458	5.25E-38
282	0.998554542	6.93E-60
283	2.85E-27	3.76E-70
284	8.17E-78	7.26E-116
285	4.79E-26	6.24E-69
286	7.40E-10	1.63E-29
287	1.03E-20	5.44E-40
288	1.59E-26	5.58E-60
289	5.97E-37	4.06E-64
290	6.58E-35	1.15E-35
291	3.68E-33	3.88E-56
292	4.26E-22	5.23E-58
293	3.54E-61	1.77E-83
294	5.82E-47	5.97E-76
295	1.48E-22	1.37E-47
296	3.43E-94	1.07E-130
297	1.20E-20	2.27E-46
298	8.06E-16	2.68E-41
299	1.71E-07	5.11E-37
300	0.999978244	2.30E-49
301	0.999978736	3.54E-66
302	0.999995035	4.44E-53
303	0.999996468	5.57E-49
304	0.051906013	9.07E-51
305	5.85E-13	1.06E-32
306	1.38E-36	2.90E-56
307	3.58E-59	1.34E-78
308	2.00E-51	8.42E-68
309	1.81E-52	5.20E-47
310	1.21E-74	1.45E-64
311	1.90E-92	4.22E-108
312	1.99E-68	3.48E-98
313	1.23E-20	8.49E-47
314	1.88E-33	3.21E-73
315	1.23E-29	5.43E-67
316	0.748815704	5.06E-07
317	1.39E-37	6.45E-75
318	0.999174109	2.38E-14
319	0.99999947	2.12E-15
320	0.999999418	7.28E-14
321	0.999946505	1.05E-18
322	0.031481741	8.33E-05
323	0.087929645	4.43E-05
324	2.09E-49	1.89E-66
325	0.564411622	5.96E-09
326	5.64E-15	1.57E-46
327	0.112308641	3.99E-07
328	0.999976427	9.01E-24
329	4.74E-14	7.42E-28
330	1.08E-42	2.27E-41
331	2.03E-15	3.58E-44
332	0.003479297	3.82E-22
333	1.06E-24	2.74E-22
334	5.45E-15	9.16E-18
335	1.07E-21	1.08E-23
336	2.37E-09	8.95E-35
337	9.05E-13	1.35E-33
338	0.023979054	2.88E-06
339	1.67E-05	5.96E-05
340	9.30E-06	0.002031703
341	8.18E-15	0.020628096
342	7.85E-29	1.21E-11
343	8.51E-56	1.56E-50
344	1.83E-55	1.05E-47
345	2.07E-40	3.63E-27
346	6.00E-39	1.34E-24
347	6.65E-21	1.29E-19
348	3.02E-11	3.03E-16
349	3.14E-20	3.53E-35
350	7.21E-24	1.83E-27
351	2.33E-16	1.44E-27
352	0.000877324	1.17E-09
353	0.012830042	1.61E-06
354	0.001263522	0.001688856
355	1.19E-13	3.34E-13
356	8.30E-11	3.39E-13
357	5.43E-26	2.46E-20
358	3.41E-54	3.69E-31
359	2.78E-37	1.54E-14
360	5.96E-26	1.00E-30
361	1.03E-14	3.51E-16
362	5.07E-07	5.63E-12
363	4.52E-05	4.04E-05
364	2.18E-05	0.002223223
365	6.43E-50	8.36E-54
366	1.12E-40	8.33E-32
367	4.22E-54	7.09E-47
368	1.22E-72	2.25E-46
369	8.84E-25	1.06E-30
370	5.10E-14	2.14E-17
371	9.07E-23	4.45E-29
372	7.88E-36	4.87E-30
373	4.08E-72	4.38E-52
374	4.30E-59	2.59E-41
375	3.60E-65	1.81E-52
376	4.99E-105	2.62E-80
377	1.80E-51	3.00E-53
378	5.67E-65	7.54E-50
379	2.70E-14	6.92E-11
380	9.94E-32	3.11E-20
381	4.11E-23	3.00E-14
382	2.43E-12	1.48E-07
383	1.89E-20	2.38E-16
384	3.19E-10	6.87E-10
385	3.88E-11	1.60E-16
386	1.22E-07	5.54E-12
387	6.09E-44	1.02E-21
388	1.81E-52	2.90E-43
389	7.06E-49	2.56E-34
390	1.62E-32	3.43E-19
391	5.83E-31	4.12E-37
392	0.000170346	1.85E-12
393	1.19E-51	7.35E-34
394	1.16E-26	3.22E-06
395	4.69E-24	9.39E-14
396	6.09E-07	1.93E-05
397	8.17E-09	0.993774979
398	1.91E-51	8.69E-53
399	5.80E-38	9.37E-52
400	1.01E-55	6.77E-71
401	2.38E-20	9.01E-39
402	6.06E-11	3.83E-17
403	1.72E-13	4.09E-19
404	2.24E-17	7.83E-36
405	9.86E-05	1.55E-06
406	3.30E-27	3.19E-33
407	4.26E-50	4.00E-49
408	8.55E-22	3.35E-35
409	1.61E-67	3.17E-70
410	2.81E-22	9.25E-30
411	4.02E-53	1.82E-56
412	2.19E-29	8.55E-20
413	2.79E-53	9.24E-49
414	6.73E-31	4.86E-26
415	8.59E-35	4.94E-44
416	1.88E-37	8.27E-39
417	2.86E-75	1.16E-42
418	5.52E-56	2.56E-52
419	4.17E-10	3.99E-14
420	0.07904517	0.000397678
421	0.139900124	0.020573169
422	2.01E-39	4.48E-26
423	8.35E-44	6.06E-44
424	8.20E-30	5.84E-30
425	9.63E-05	3.70E-17
426	3.62E-12	6.51E-22
427	0.003599115	4.18E-08
428	6.21E-30	4.50E-40
429	1.28E-18	9.57E-38
430	1.07E-83	5.15E-95
431	6.85E-32	5.86E-41
432	1.25E-12	4.48E-18
433	7.08E-34	2.55E-35
434	2.48E-52	1.29E-68
435	1.11E-17	5.83E-18
436	9.90E-18	2.33E-32
437	2.59E-38	1.87E-45
438	3.66E-43	5.58E-61
439	3.32E-26	3.51E-22
440	2.95E-14	4.60E-19
441	1.30E-07	3.60E-15
442	0.000635042	2.56E-06
443	4.53E-62	2.44E-58
444	2.34E-88	3.98E-59
445	3.28E-40	1.71E-28
446	2.93E-15	3.82E-20
447	9.66E-38	5.65E-36
448	1.88E-11	3.48E-31
449	0.084558569	3.95E-11
450	2.49E-09	6.16E-31
451	4.53E-06	2.62E-18
452	1.88E-07	3.52E-18
453	5.32E-14	5.87E-13
454	1.79E-34	3.99E-31
455	3.31E-49	2.28E-64
456	6.37E-08	9.13E-25
457	1.72E-50	3.33E-62
458	2.46E-28	5.09E-34
459	2.13E-63	1.25E-76
460	0.010644754	8.18E-09
461	1.10E-05	1.39E-07
462	0.995511732	9.31E-07
463	1.19E-06	2.16E-07
464	0.009097981	0.000254027
465	1.97E-07	1.01E-08
466	8.40E-08	3.27E-08
467	1.75E-07	2.94E-06
468	3.31E-07	2.54E-06
469	1.99E-36	9.71E-47
470	0.696497497	8.53E-32
471	1.29E-26	6.88E-75
472	0.99999967	4.23E-21
473	0.999999961	7.22E-17
474	0.192989382	1.04E-09
475	0.999999988	3.06E-18
476	0.999960804	1.25E-13
477	0.999929486	5.76E-22
478	0.999988626	5.07E-12
479	0.00075544	1.65E-12
480	9.41E-26	1.75E-20
481	1.83E-35	3.03E-30
482	7.62E-05	0.001546075
483	5.02E-08	0.00207098
484	2.96E-06	0.055989226
485	4.62E-20	2.87E-05
486	9.60E-07	0.880426633
487	4.41E-07	0.00175576
488	2.17E-07	7.91E-06
489	3.87E-11	3.02E-06
490	3.42E-21	1.60E-05
491	3.79E-09	0.477815778
492	2.58E-08	3.50E-10
493	0.00013078	0.964028269
494	9.70E-36	1.15E-09
495	9.66E-33	1.97E-23
496	2.33E-23	2.88E-30
497	2.57E-28	2.14E-22
498	3.06E-30	2.67E-26
499	1.24E-47	4.31E-35
500	1.13E-46	2.27E-32
501	3.24E-31	2.93E-35
502	1.92E-36	2.17E-29
503	1.02E-43	1.10E-26
504	8.64E-61	3.04E-16
505	3.45E-25	1.13E-34
506	2.09E-45	2.76E-55
507	4.11E-34	1.38E-51
508	3.58E-59	1.35E-71
509	3.54E-25	1.13E-23
510	1.31E-15	5.32E-20
511	7.30E-25	2.17E-23
512	1.52E-36	6.58E-22
513	6.51E-24	1.05E-14
514	2.14E-20	2.30E-19
515	2.28E-21	7.18E-29
516	1.65E-31	3.40E-32
517	3.01E-22	2.22E-22
518	3.69E-25	1.02E-23
519	1.47E-08	1.93E-07
520	1.68E-09	6.04E-07
521	3.20E-47	2.40E-24
522	7.37E-84	4.43E-59
523	2.77E-121	1.75E-97
524	1.33E-103	3.36E-78
525	5.15E-54	8.82E-44
526	1.44E-28	3.04E-18
527	0.007121637	0.082811555
528	1.28E-35	5.55E-41
529	2.66E-48	1.18E-57
530	2.44E-36	1.09E-27
531	1.96E-100	3.47E-87
532	1.36E-23	1.06E-19
533	7.86E-22	9.12E-19
534	9.72E-06	0.000106633
535	0.00022614	0.000187994
536	7.38E-07	1.67E-06
537	3.38E-36	1.31E-31
538	1.53E-76	1.96E-64
539	1.68E-36	8.15E-25
540	9.24E-50	3.81E-38
541	2.87E-11	2.10E-05
542	3.07E-33	7.98E-20
543	8.24E-25	5.65E-12
544	8.92E-17	6.03E-13
545	1.82E-19	6.31E-23
546	1.74E-34	2.45E-26
547	1.59E-21	7.95E-27
548	3.47E-22	4.04E-23
549	1.37E-27	7.45E-31
550	1.29E-40	7.03E-48
551	2.70E-10	5.98E-12
552	1.17E-23	9.79E-34
553	1.37E-22	1.12E-19
554	1.66E-21	2.35E-27
555	1.87E-28	1.64E-07
556	1.33E-49	3.03E-49
557	2.59E-30	1.89E-19
558	4.10E-83	1.66E-59
559	3.36E-60	2.86E-58
560	1.04E-24	1.02E-24
561	3.32E-31	1.99E-39
562	3.10E-34	1.35E-48
563	1.99E-50	2.20E-38
564	7.10E-40	3.38E-48
565	2.50E-33	1.06E-24
566	1.45E-24	1.53E-31
567	2.08E-40	3.37E-42
568	4.14E-43	2.23E-42
569	2.14E-35	3.40E-26
570	2.24E-45	3.06E-30
571	1.07E-130	3.43E-112
572	7.26E-134	1.90E-128
573	2.77E-121	1.07E-112
574	1.07E-130	1.59E-109
575	2.81E-107	8.96E-59
576	4.45E-83	5.31E-67
577	6.01E-49	3.37E-27
578	1.21E-27	1.68E-34
579	1.14E-54	1.99E-68
580	4.02E-71	1.33E-50
581	7.55E-54	7.90E-46
582	1.07E-130	1.07E-130
583	1.07E-130	1.07E-130
584	3.10E-60	2.88E-59
585	1.28E-56	5.73E-54
586	5.25E-09	1.95E-05
587	7.87E-48	4.15E-42
588	1.46E-73	4.63E-42
589	5.69E-58	1.97E-37
590	1.11E-34	4.29E-23
591	1.40E-48	1.06E-30
592	3.23E-22	2.61E-18
593	1.17E-07	6.13E-19
594	1.14E-33	3.39E-51
595	4.78E-76	5.02E-83
596	0.000320933	0.083348708
597	2.21E-06	0.784649581
598	1.32E-12	0.999842143
599	3.45E-112	1.00E-101
600	1.33E-17	6.79E-21
601	9.85E-64	1.69E-64
602	1.55E-33	1.13E-30
603	5.07E-50	3.59E-52
604	1.16E-71	8.65E-73
605	1.16E-08	0.338879624
606	4.55E-15	0.000118344
607	6.69E-07	0.129878417
608	3.20E-72	7.85E-81
609	1.04E-56	5.42E-52
610	1.59E-92	6.16E-34
611	2.28E-99	4.84E-73
612	4.09E-118	1.96E-100
613	2.51E-70	6.08E-21
614	2.16E-70	1.10E-55
615	1.70E-36	2.05E-22
616	1.14E-17	2.44E-17
617	4.93E-10	9.72E-25
618	8.40E-53	1.85E-60
619	6.58E-43	3.17E-34
620	8.51E-48	1.09E-09
621	6.15E-48	3.76E-21
622	7.21E-47	3.49E-13
623	1.92E-48	1.04E-11
624	1.14E-29	1.04E-43
625	1.30E-05	7.51E-10
626	6.63E-82	2.81E-89
627	1.83E-73	7.24E-73
628	6.88E-93	2.16E-88
629	1.21E-22	9.79E-12
630	8.42E-50	5.56E-49
631	3.37E-49	7.49E-26
632	9.94E-56	2.00E-20
633	3.14E-38	2.54E-30
634	1.53E-44	1.37E-39
635	4.47E-25	9.43E-28
636	1.07E-34	1.97E-33
637	5.72E-52	4.22E-36
638	1.37E-70	2.24E-52
639	2.86E-58	9.59E-53
640	1.13E-75	3.17E-52
641	6.04E-34	9.09E-33
642	1.39E-56	4.23E-68
643	3.59E-42	2.72E-58
644	4.58E-92	4.65E-78
645	1.04E-97	2.07E-59
646	6.64E-49	9.55E-26
647	1.47E-97	2.31E-85
648	2.85E-32	1.21E-24
649	1.09E-116	1.93E-114
650	3.90E-99	7.49E-88
651	2.77E-139	2.77E-139
652	2.77E-139	2.77E-139
653	1.09E-98	2.02E-68
654	4.34E-36	4.47E-07
655	3.13E-38	1.40E-18
656	7.26E-48	2.36E-33
657	7.37E-120	2.86E-111
658	1.07E-130	1.90E-128
659	4.09E-50	1.06E-40
660	7.26E-134	1.07E-130
661	2.77E-139	2.77E-139
662	2.77E-139	7.26E-134
663	4.73E-82	6.48E-49
664	7.26E-134	2.81E-125
665	7.26E-134	2.77E-139
666	7.26E-134	7.26E-134
667	2.77E-121	7.26E-116
668	1.07E-130	7.26E-134
669	2.77E-121	7.26E-116
670	2.89E-81	2.13E-84
671	1.63E-35	9.04E-10
672	4.09E-118	6.05E-97
673	5.88E-91	3.18E-47
674	1.07E-62	4.99E-55
675	4.99E-123	1.75E-97
676	3.10E-113	6.88E-75
677	7.27E-99	1.04E-62
678	3.10E-113	1.11E-84
679	2.01E-91	1.64E-46
680	2.22E-29	5.71E-20
681	1.99E-75	6.31E-39
682	1.06E-126	7.37E-120
683	2.77E-139	2.77E-139
684	2.81E-125	2.81E-125
685	7.26E-134	7.26E-134
686	2.77E-139	2.77E-139
687	4.36E-91	1.93E-78
688	1.93E-114	7.37E-120
689	1.20E-104	1.07E-112
690	1.93E-114	2.81E-125
691	3.88E-60	2.92E-74
692	1.22E-37	2.63E-54
693	1.60E-23	1.24E-22
694	9.75E-28	7.43E-16
695	1.90E-128	7.26E-134
696	6.78E-72	8.83E-74
697	1.04E-52	3.23E-90
698	2.33E-41	1.58E-30
699	3.79E-22	5.14E-27
700	1.47E-14	4.58E-33
701	2.52E-46	3.51E-51
702	8.23E-30	0.021277646
703	1.90E-14	0.999999273
704	2.93E-10	0.89268984
705	1.25E-17	0.99999999
706	1.22E-25	0.999901228
707	8.81E-38	0.050942345
708	1.25E-28	0.999953974
709	2.78E-23	0.439715581
710	3.26E-37	2.71E-56
711	5.49E-10	5.59E-24
712	1.53E-27	1.13E-26
713	2.22E-49	3.55E-21
714	1.07E-31	2.88E-12
715	1.24E-18	0.99992844
716	1.81E-30	0.999861411
717	2.93E-14	0.999994309
718	8.91E-12	1.91E-09
719	0.137041477	5.61E-05
720	0.003627289	4.09E-22
721	0.008426485	0.000358293
722	0.000264918	0.002629903
723	2.95E-38	1.47E-53
724	0.002664503	3.22E-09
725	3.19E-45	1.14E-65
726	0.000541802	0.016212981
727	3.70E-30	7.38E-21
728	1.32E-23	2.08E-23
729	0.000803449	0.001697892
730	2.59E-15	1.02E-09
731	8.82E-15	2.18E-14
732	1.05E-19	6.47E-15
733	0.022602504	0.567426203
734	3.76E-08	3.41E-08
735	4.53E-09	0.006916598
736	4.19E-39	4.03E-60
737	2.40E-07	1.50E-29
738	9.53E-36	2.24E-63
739	2.49E-06	5.67E-07
740	4.31E-09	2.03E-09
741	1.21E-07	4.38E-08
742	0.039631807	2.61E-16
743	0.87254896	2.85E-05
744	1.64E-11	1.82E-26
745	2.45E-05	2.67E-06
746	1.98E-09	1.62E-09
747	3.14E-07	1.44E-07
748	2.47E-51	7.76E-65
749	3.26E-77	3.04E-55
750	1.45E-112	2.09E-123
751	2.39E-05	1.03E-05
752	3.95E-08	7.62E-08
753	1.03E-34	1.87E-33
754	8.25E-97	5.57E-118
755	4.71E-06	2.60E-06
756	0.194541839	0.303263276
757	2.68E-36	4.52E-56
758	2.33E-40	9.73E-62
759	1.32E-90	7.26E-116
760	3.84E-07	1.56E-33
761	1.49E-07	8.24E-08
762	1.94E-06	4.64E-07
763	4.05E-26	6.97E-43
764	1.93E-67	2.54E-90
765	1.35E-43	7.13E-64
766	2.21E-42	4.45E-83
767	0.016152008	1.88E-06
768	0.021544585	9.85E-07
769	0.006249888	5.42E-29
770	1.09E-20	2.16E-52
771	0.953575453	8.19E-06
772	0.2396433	0.000589656
773	5.16E-34	3.65E-55
774	4.23E-16	5.94E-50
775	1.30E-61	7.37E-102
776	0.016393969	3.15E-22
777	2.68E-106	1.07E-130
778	2.32E-15	1.75E-16
779	2.12E-109	1.16E-124
780	0.958524319	1.36E-05
781	0.396596168	3.22E-16
782	0.992579828	5.49E-09
783	0.995285046	9.00E-11
784	2.18E-07	1.19E-09
785	4.02E-06	5.94E-07
786	5.71E-06	0.000466961
787	4.05E-43	3.49E-50
788	3.47E-68	1.22E-72
789	6.67E-22	2.09E-18
790	1.67E-15	1.40E-18
791	2.27E-07	1.13E-06
792	3.41E-06	0.000278293
793	8.11E-05	0.683262228
794	4.05E-08	0.998752119
795	3.33E-28	1.00E-30
796	2.36E-83	1.39E-61
797	4.22E-108	1.11E-102
798	7.20E-12	3.40E-11
799	1.96E-100	1.31E-117
800	1.37E-29	2.55E-55
801	0.000280438	5.23E-26
802	3.36E-05	4.06E-07
803	3.98E-09	1.78E-09
804	0.001780305	8.34E-05
805	1.13E-63	2.59E-61
806	9.17E-18	6.13E-32
807	2.08E-66	1.99E-101
808	0.000154495	0.000139699
809	5.66E-22	1.73E-41
810	1.57E-33	6.38E-63
811	1.35E-71	2.86E-111
812	3.22E-43	2.34E-59
813	0.081158376	2.04E-05
814	5.58E-25	8.66E-28
815	1.09E-80	1.49E-69
816	1.14E-48	3.32E-57
817	1.51E-47	3.37E-60
818	1.80E-87	1.11E-102
819	1.64E-65	4.16E-69
820	7.26E-134	7.26E-134
821	2.82E-54	6.01E-44
822	1.68E-12	7.06E-13
823	9.51E-69	1.06E-91
824	0.003997204	0.619166783
825	0.937681628	0.000616769
826	1.07E-05	7.71E-07
827	8.62E-56	4.06E-62
828	9.62E-20	1.52E-48
829	0.00113785	0.004067175
830	1.98E-10	1.75E-05
831	0.095821839	1.48E-06
832	3.66E-30	2.92E-50
833	0.169843079	1.18E-23
834	4.93E-12	5.16E-60
835	7.51E-08	9.11E-09
836	4.67E-96	7.27E-134
837	2.77E-139	2.77E-139
838	4.06E-64	1.53E-94
839	2.77E-139	2.77E-139
840	4.70E-13	1.22E-23
841	0.903089737	4.24E-14
842	0.952283818	3.43E-16
843	1.20E-31	1.82E-71
844	0.991852023	1.14E-43
845	0.999999862	2.14E-28
846	0.999988428	2.21E-43
847	1.56E-07	7.57E-10
848	5.62E-07	1.22E-07
849	7.84E-74	1.33E-95
850	7.26E-134	7.26E-134
851	9.06E-29	2.03E-48
852	1.96E-06	0.937390556
853	2.37E-12	7.48E-15
854	4.93E-25	3.04E-43
855	0.998532998	3.08E-07
856	1.12E-06	1.93E-09
857	0.000119143	5.74E-07
858	1.19E-21	1.84E-52
859	0.008308995	5.12E-05
860	5.05E-25	6.30E-57
861	3.52E-07	7.46E-08
862	7.20E-10	6.80E-10
863	9.75E-05	1.28E-08
864	2.55E-07	1.01E-07
865	0.164705008	2.48E-05
866	1.67E-56	1.74E-85
867	1.49E-05	1.24E-29
868	0.467817706	1.35E-12
869	0.000512019	2.53E-05
870	2.60E-91	2.03E-119
871	0.003696147	0.00073774
872	1.40E-135	1.22E-135
873	2.05E-05	8.45E-06
874	6.58E-09	2.82E-21
875	0.007329687	0.000110657
876	1.24E-40	1.99E-66
877	0.999312858	3.18E-08
878	1.05E-07	1.05E-09
879	7.45E-10	6.72E-10
880	6.72E-10	6.72E-10
881	1.62E-09	9.01E-10
882	9.50E-05	1.56E-05
883	3.25E-74	5.11E-44
884	2.77E-139	2.77E-139
885	6.61E-32	2.61E-14
886	1.18E-55	1.75E-25
