"V1" "V2" "V3" "V4"
"245" 0.73 0.87 0.57 0.82
"246" 0.65 0.79 0.5 0.71
"247" 0.54 0.79 0.16 0.5
"248" 0.44 0.69 0.14 0.36
"249" 0.16 0.8 0.036 0.59
"250" 0.42 0.81 0.11 0.55
"251" 0.07 0.14 0.03 0.071
"252" 0.41 0.31 0.18 0.12
"253" 0.35 0.35 0.32 0.31
"254" 0.28 0.55 0.4 0.7
"255" 0.54 0.44 0.79 0.72
"256" 0.11 0.1 0.2 0.17
"257" 0.036 0.12 0.073 0.28
"258" 0.0569999999999999 0.37 0.19 0.76
"259" 0.021 0.074 0.034 0.14
"260" 0.35 0.4 0.27 0.32
"261" 0.37 0.4 0.19 0.21
"262" 0.79 0.66 0.8 0.65
"263" 0.58 0.24 0.85 0.6
"264" 0.9 0.83 0.95 0.89
"265" 0.98 0.96 0.99 0.99
"266" 0.93 0.86 0.82 0.62
"267" 0.42 0.46 0.8 0.82
"268" 0.00600000000000001 0.0309999999999999 0.04 0.3
"269" 0.29 0.65 0.37 0.74
"270" 0.59 0.78 0.26 0.56
"271" NA 0.55 NA 0.71
"272" 0.41 0.62 0.46 0.69
"273" 0.67 0.69 0.55 0.57
"274" 0.8 0.79 0.91 0.9
"275" 0.84 0.87 0.86 0.89
"276" 0.57 0.82 0.9 0.97
"277" 0.47 0.8 0.88 0.97
"278" 0.72 0.85 0.89 0.95
"279" 0.81 0.9 0.74 0.87
"280" 0.75 0.86 0.41 0.67
"281" 0.41 0.43 0.48 0.51
"282" 0.71 0.74 0.71 0.74
"283" 0.85 0.81 0.9 0.87
"284" 0.94 0.89 0.93 0.85
"285" 0.98 0.95 0.99 0.98
"286" 0.94 0.9 0.91 0.85
"287" 0.45 0.7 0.6 0.81
"288" 0.73 0.84 0.62 0.8
"289" 0.96 0.96 0.63 0.57
"290" 0.94 0.93 0.83 0.79
"291" 0.66 0.9 0.27 0.77
"292" 0.88 0.88 0.83 0.83
"293" 0.93 0.85 0.88 0.74
"294" 0.96 0.93 0.95 0.91
"295" 0.94 0.89 0.95 0.9
"296" 0.85 0.8 0.82 0.77
"297" 0.99 0.97 0.99 0.99
"298" 0.84 0.82 0.79 0.76
"299" 0.75 0.77 0.77 0.79
"300" 0.71 0.7 0.77 0.76
"301" 0.74 0.76 0.82 0.84
"302" 0.86 0.83 0.92 0.89
"303" 0.81 0.76 0.86 0.81
"304" 0.85 0.71 0.85 0.68
"305" 0.84 0.84 0.82 0.82
"306" 0.67 0.74 0.64 0.73
"307" 0.87 0.85 0.86 0.85
"308" 0.93 0.92 0.94 0.93
"309" 0.92 0.82 0.95 0.87
"310" 0.8 0.78 0.84 0.81
"311" 0.89 0.87 0.91 0.89
"312" 0.97 0.97 0.98 0.97
"313" 0.96 0.94 0.98 0.96
"314" 0.89 0.79 0.83 0.65
"315" 0.94 0.88 0.95 0.87
"316" 0.91 0.84 0.94 0.88
"317" 0.13 0.3 0.21 0.5
"318" 0.89 0.81 0.97 0.94
"319" 0.31 0.44 0.33 0.5
"320" 0.49 0.35 0.35 0.21
"321" 0.21 0.52 0.094 0.36
"322" 0.44 0.59 0.35 0.53
"323" 0.21 0.11 0.1 0.0479999999999999
"324" 0.42 0.3 0.29 0.19
"325" 0.88 0.8 0.95 0.91
"326" 0.25 0.48 0.18 0.43
"327" 0.85 0.82 0.81 0.77
"328" 0.099 0.14 0.12 0.18
"329" 0.52 0.36 0.71 0.56
"330" 0.52 0.62 0.66 0.75
"331" 0.79 0.72 0.82 0.74
"332" 0.78 0.77 0.81 0.8
"333" 0.36 0.57 0.55 0.74
"334" 0.45 0.81 0.16 0.64
"335" 0.22 0.81 0.0489999999999999 0.6
"336" 0.3 0.8 0.18 0.77
"337" 0.69 0.8 0.57 0.76
"338" 0.57 0.85 0.4 0.81
"339" 0.36 0.44 0.23 0.3
"340" 0.0599999999999999 0.16 0.02 0.0619999999999999
"341" 0.0559999999999999 0.15 0.019 0.0569999999999999
"342" 0.22 0.43 0.088 0.22
"343" 0.44 0.57 0.27 0.4
"344" 0.87 0.81 0.85 0.77
"345" 0.82 0.8 0.83 0.8
"346" 0.64 0.72 0.52 0.65
"347" 0.7 0.71 0.47 0.49
"348" 0.61 0.66 0.39 0.45
"349" 0.3 0.67 0.22 0.62
"350" 0.79 0.77 0.66 0.63
"351" 0.74 0.67 0.62 0.5
"352" 0.57 0.7 0.57 0.71
"353" 0.27 0.43 0.28 0.47
"354" 0.31 0.44 0.18 0.27
"355" 0.19 0.33 0.13 0.26
"356" 0.25 0.58 0.22 0.6
"357" 0.4 0.4 0.47 0.47
"358" 0.6 0.71 0.34 0.47
"359" 0.76 0.76 0.58 0.58
"360" 0.46 0.67 0.19 0.41
"361" 0.75 0.69 0.67 0.58
"362" 0.55 0.48 0.5 0.41
"363" 0.42 0.37 0.52 0.47
"364" 0.088 0.11 0.069 0.088
"365" 0.0619999999999999 0.12 0.0409999999999999 0.09
"366" 0.86 0.86 0.85 0.85
"367" 0.82 0.68 0.71 0.44
"368" 0.86 0.82 0.8 0.73
"369" 0.87 0.88 0.69 0.7
"370" 0.72 0.8 0.48 0.63
"371" 0.55 0.68 0.28 0.43
"372" 0.72 0.79 0.45 0.59
"373" 0.74 0.78 0.5 0.59
"374" 0.87 0.84 0.84 0.79
"375" 0.84 0.85 0.65 0.67
"376" 0.88 0.82 0.86 0.78
"377" 0.94 0.91 0.95 0.93
"378" 0.89 0.86 0.83 0.77
"379" 0.81 0.82 0.83 0.84
"380" 0.53 0.59 0.14 0.18
"381" 0.63 0.68 0.38 0.44
"382" 0.42 0.66 0.2 0.44
"383" 0.43 0.47 0.16 0.18
"384" 0.6 0.65 0.28 0.33
"385" 0.39 0.63 0.1 0.24
"386" 0.62 0.65 0.28 0.31
"387" 0.5 0.62 0.16 0.26
"388" 0.71 0.76 0.26 0.34
"389" 0.88 0.85 0.7 0.6
"390" 0.83 0.79 0.62 0.5
"391" 0.7 0.65 0.37 0.29
"392" 0.81 0.75 0.73 0.63
"393" 0.47 0.48 0.36 0.37
"394" 0.78 0.69 0.73 0.61
"395" 0.31 0.3 0.29 0.28
"396" 0.5 0.58 0.36 0.45
"397" 0.018 0.0289999999999999 0.00600000000000001 0.01
"398" 0.2 0.17 0.13 0.1
"399" 0.89 0.84 0.87 0.78
"400" 0.82 0.82 0.85 0.85
"401" 0.85 0.88 0.93 0.95
"402" 0.66 0.67 0.81 0.82
"403" 0.29 0.53 0.41 0.69
"404" 0.51 0.6 0.45 0.56
"405" 0.71 0.78 0.65 0.75
"406" 0.4 0.44 0.15 0.17
"407" 0.72 0.7 0.71 0.68
"408" 0.88 0.79 0.85 0.73
"409" 0.66 0.73 0.7 0.78
"410" 0.87 0.89 0.92 0.94
"411" 0.72 0.69 0.65 0.6
"412" 0.86 0.81 0.9 0.85
"413" 0.59 0.71 0.31 0.47
"414" 0.85 0.88 0.73 0.78
"415" 0.66 0.77 0.39 0.59
"416" 0.86 0.77 0.81 0.68
"417" 0.83 0.68 0.82 0.61
"418" 0.79 0.79 0.77 0.77
"419" 0.83 0.81 0.86 0.85
"420" 0.55 0.53 0.42 0.4
"421" 0.24 0.14 0.098 0.0509999999999999
"422" 0.34 0.23 0.23 0.14
"423" 0.64 0.72 0.52 0.65
"424" 0.82 0.8 0.78 0.75
"425" 0.77 0.71 0.63 0.52
"426" 0.3 0.72 0.16 0.63
"427" 0.74 0.56 0.58 0.31
"428" 0.43 0.32 0.35 0.23
"429" 0.8 0.72 0.8 0.71
"430" 0.71 0.59 0.84 0.77
"431" 0.94 0.92 0.98 0.97
"432" 0.65 0.63 0.86 0.84
"433" 0.57 0.3 0.7 0.4
"434" 0.79 0.76 0.68 0.63
"435" 0.96 0.66 0.98 0.69
"436" 0.34 0.65 0.3 0.66
"437" 0.76 0.81 0.51 0.61
"438" 0.83 0.8 0.8 0.76
"439" 0.84 0.72 0.95 0.9
"440" 0.61 0.54 0.62 0.53
"441" 0.65 0.5 0.56 0.38
"442" 0.51 0.47 0.47 0.43
"443" 0.38 0.37 0.21 0.21
"444" 0.93 0.8 0.92 0.72
"445" 0.92 0.87 0.87 0.79
"446" 0.73 0.72 0.58 0.55
"447" 0.67 0.78 0.17 0.31
"448" 0.5 0.72 0.72 0.86
"449" 0.67 0.7 0.67 0.69
"450" 0.31 0.68 0.19 0.58
"451" 0.55 0.68 0.67 0.78
"452" 0.47 0.45 0.59 0.56
"453" 0.6 0.25 0.73 0.34
"454" 0.41 0.37 0.49 0.45
"455" 0.77 0.71 0.66 0.55
"456" 0.94 0.89 0.89 0.8
"457" 0.84 0.76 0.82 0.71
"458" 0.88 0.81 0.93 0.88
"459" 0.78 0.44 0.87 0.56
"460" 0.91 0.84 0.97 0.93
"461" 0.32 0.21 0.56 0.41
"462" 0.019 0.02 0.016 0.018
"463" 0.24 0.37 0.28 0.44
"464" 0.026 0.088 0.011 0.04
"465" 0.13 0.35 0.0679999999999999 0.24
"466" 0.088 0.11 0.0389999999999999 0.0489999999999999
"467" 0.091 0.1 0.032 0.038
"468" 0.17 0.0429999999999999 0.0649999999999999 0.014
"469" 0.04 0.038 0.014 0.014
"470" 0.86 0.68 0.91 0.73
"471" 0.63 0.54 0.79 0.72
"472" 0.91 0.85 0.96 0.93
"473" 0.42 0.48 0.43 0.51
"474" 0.23 0.3 0.4 0.5
"475" 0.15 0.18 0.11 0.13
"476" 0.36 0.55 0.23 0.45
"477" 0.45 0.35 0.13 0.088
"478" 0.49 0.72 0.22 0.5
"479" 0.29 0.41 0.21 0.33
"480" 0.36 0.51 0.31 0.49
"481" 0.65 0.47 0.63 0.42
"482" 0.73 0.56 0.79 0.64
"483" 0.12 0.11 0.085 0.074
"484" 0.0609999999999999 0.0549999999999999 0.0539999999999999 0.0469999999999999
"485" 0.0579999999999999 0.0619999999999999 0.0529999999999999 0.0569999999999999
"486" 0.47 0.22 0.48 0.19
"487" 0.18 0.18 0.2 0.19
"488" 0.0479999999999999 0.08 0.03 0.0559999999999999
"489" 0.025 0.032 0.011 0.015
"490" 0.18 0.54 0.094 0.44
"491" 0.28 0.41 0.2 0.32
"492" 0.18 0.23 0.098 0.13
"493" 0.34 0.58 0.23 0.51
"494" 0.072 0.23 0.0309999999999999 0.13
"495" 0.34 0.51 0.26 0.46
"496" 0.35 0.79 0.2 0.75
"497" 0.65 0.78 0.49 0.71
"498" 0.58 0.69 0.43 0.58
"499" 0.61 0.78 0.37 0.65
"500" 0.68 0.75 0.68 0.76
"501" 0.63 0.72 0.65 0.76
"502" 0.71 0.68 0.76 0.73
"503" 0.7 0.72 0.59 0.63
"504" 0.71 0.73 0.5 0.54
"505" 0.5 0.62 0.32 0.47
"506" 0.73 0.77 0.64 0.71
"507" 0.87 0.85 0.86 0.83
"508" 0.86 0.81 0.86 0.8
"509" 0.92 0.88 0.94 0.9
"510" 0.57 0.68 0.48 0.63
"511" 0.57 0.7 0.33 0.51
"512" 0.59 0.77 0.29 0.59
"513" 0.73 0.62 0.51 0.34
"514" 0.53 0.72 0.12 0.28
"515" 0.56 0.71 0.28 0.5
"516" 0.66 0.69 0.62 0.66
"517" 0.71 0.69 0.7 0.67
"518" 0.65 0.65 0.49 0.5
"519" 0.64 0.71 0.44 0.55
"520" 0.37 0.38 0.26 0.27
"521" 0.46 0.33 0.26 0.16
"522" 0.69 0.73 0.42 0.5
"523" 0.94 0.9 0.83 0.72
"524" 0.97 0.93 0.98 0.95
"525" 0.95 0.91 0.95 0.89
"526" 0.82 0.73 0.84 0.74
"527" 0.56 0.5 0.57 0.49
"528" 0.27 0.13 0.24 0.096
"529" 0.8 0.77 0.78 0.74
"530" 0.88 0.79 0.92 0.83
"531" 0.6 0.7 0.56 0.7
"532" 0.93 0.93 0.96 0.96
"533" 0.44 0.79 0.13 0.57
"534" 0.47 0.81 0.12 0.56
"535" 0.12 0.12 0.018 0.018
"536" 0.11 0.31 0.04 0.16
"537" 0.0439999999999999 0.0639999999999999 0.015 0.022
"538" 0.62 0.85 0.37 0.79
"539" 0.94 0.88 0.9 0.8
"540" 0.7 0.75 0.39 0.5
"541" 0.83 0.71 0.79 0.6
"542" 0.41 0.25 0.28 0.14
"543" 0.55 0.66 0.4 0.53
"544" 0.3 0.7 0.077 0.39
"545" 0.3 0.7 0.096 0.45
"546" 0.37 0.84 0.097 0.68
"547" 0.29 0.86 0.098 0.79
"548" 0.72 0.76 0.44 0.53
"549" 0.54 0.74 0.34 0.64
"550" 0.55 0.74 0.57 0.79
"551" 0.84 0.83 0.8 0.78
"552" 0.28 0.59 0.18 0.51
"553" 0.71 0.8 0.55 0.72
"554" 0.53 0.79 0.14 0.48
"555" 0.7 0.79 0.39 0.57
"556" 0.43 0.55 0.073 0.12
"557" 0.86 0.87 0.76 0.77
"558" 0.72 0.61 0.43 0.27
"559" 0.94 0.93 0.77 0.72
"560" 0.92 0.88 0.85 0.78
"561" 0.55 0.74 0.4 0.67
"562" 0.79 0.8 0.7 0.72
"563" 0.87 0.88 0.72 0.75
"564" 0.79 0.8 0.68 0.7
"565" 0.82 0.79 0.84 0.81
"566" 0.61 0.71 0.46 0.62
"567" 0.7 0.72 0.64 0.68
"568" 0.72 0.74 0.8 0.83
"569" 0.83 0.73 0.83 0.69
"570" 0.75 0.48 0.75 0.41
"571" 0.77 0.61 0.74 0.51
"572" 0.98 0.96 0.99 0.96
"573" 0.99 0.98 0.99 0.98
"574" 0.98 0.95 0.99 0.97
"575" 0.97 0.95 0.99 0.97
"576" 0.9 0.85 0.89 0.82
"577" 0.91 0.88 0.92 0.88
"578" 0.53 0.7 0.54 0.74
"579" 0.41 0.74 0.64 0.88
"580" 0.94 0.85 0.94 0.84
"581" 0.84 0.78 0.88 0.8
"582" 0.83 0.68 0.89 0.74
"583" 0.99 0.97 0.99 0.99
"584" 0.99 0.97 0.99 0.99
"585" 0.87 0.85 0.89 0.87
"586" 0.81 0.84 0.85 0.88
"587" 0.19 0.42 0.12 0.34
"588" 0.67 0.85 0.64 0.86
"589" 0.83 0.81 0.74 0.7
"590" 0.7 0.77 0.7 0.78
"591" 0.66 0.57 0.61 0.5
"592" 0.73 0.5 0.81 0.58
"593" 0.41 0.21 0.76 0.53
"594" 0.42 0.32 0.7 0.59
"595" 0.71 0.7 0.91 0.9
"596" 0.93 0.9 0.97 0.95
"597" 0.11 0.071 0.18 0.1
"598" 0.15 0.076 0.16 0.0669999999999999
"599" 0.11 0.14 0.074 0.1
"600" 0.97 0.92 0.99 0.96
"601" 0.24 0.29 0.72 0.75
"602" 0.83 0.8 0.94 0.93
"603" 0.58 0.45 0.82 0.74
"604" 0.82 0.7 0.92 0.84
"605" 0.88 0.85 0.96 0.94
"606" 0.18 0.24 0.11 0.14
"607" 0.27 0.42 0.18 0.31
"608" 0.25 0.2 0.16 0.12
"609" 0.96 0.91 0.96 0.89
"610" 0.9 0.92 0.66 0.74
"611" 0.83 0.85 0.43 0.51
"612" 0.96 0.91 0.93 0.81
"613" 0.98 0.96 0.97 0.94
"614" 0.75 0.74 0.24 0.24
"615" 0.9 0.85 0.86 0.79
"616" 0.75 0.76 0.27 0.29
"617" 0.4 0.52 0.47 0.61
"618" 0.3 0.45 0.7 0.8
"619" 0.81 0.72 0.95 0.91
"620" 0.75 0.78 0.61 0.68
"621" 0.43 0.59 0.12 0.23
"622" 0.74 0.67 0.4 0.29
"623" 0.74 0.45 0.24 0.0679999999999999
"624" 0.19 0.77 0.02 0.33
"625" 0.47 0.89 0.5 0.93
"626" 0.22 0.22 0.5 0.49
"627" 0.95 0.9 0.98 0.94
"628" 0.96 0.88 0.94 0.83
"629" 0.93 0.92 0.97 0.96
"630" 0.29 0.51 0.27 0.52
"631" 0.91 0.89 0.7 0.65
"632" 0.77 0.79 0.32 0.39
"633" 0.71 0.74 0.24 0.3
"634" 0.78 0.83 0.37 0.52
"635" 0.85 0.91 0.36 0.6
"636" 0.77 0.77 0.45 0.46
"637" 0.86 0.9 0.19 0.33
"638" 0.88 0.85 0.5 0.4
"639" 0.94 0.91 0.71 0.57
"640" 0.92 0.93 0.63 0.69
"641" 0.92 0.9 0.74 0.67
"642" 0.77 0.71 0.69 0.6
"643" 0.93 0.89 0.91 0.87
"644" 0.87 0.73 0.94 0.85
"645" 0.93 0.85 0.97 0.92
"646" 0.91 0.87 0.87 0.82
"647" 0.75 0.75 0.43 0.43
"648" 0.97 0.95 0.94 0.89
"649" 0.93 0.77 0.9 0.61
"650" 0.98 0.96 0.99 0.97
"651" 0.98 0.92 0.97 0.85
"652" 0.99 0.99 0.99 0.99
"653" 0.99 0.99 0.99 0.99
"654" 0.85 0.88 0.92 0.94
"655" 0.27 0.44 0.18 0.34
"656" 0.6 0.74 0.2 0.39
"657" 0.99 0.96 0.96 0.68
"658" 0.99 0.97 0.98 0.94
"659" 0.99 0.98 0.99 0.98
"660" 0.96 0.93 0.95 0.9
"661" 0.99 0.99 0.99 0.97
"662" 0.99 0.99 0.99 0.99
"663" 0.99 0.98 0.99 0.99
"664" 0.86 0.76 0.87 0.76
"665" 0.99 0.98 0.99 0.97
"666" 0.99 0.99 0.99 0.99
"667" 0.99 0.99 0.99 0.98
"668" 0.99 0.96 0.99 0.95
"669" 0.99 0.98 0.99 0.99
"670" 0.98 0.95 0.99 0.98
"671" 0.96 0.93 0.95 0.92
"672" 0.61 0.22 0.43 0.096
"673" 0.97 0.95 0.97 0.95
"674" 0.88 0.89 0.66 0.71
"675" 0.99 0.92 0.98 0.83
"676" 0.98 0.95 0.97 0.93
"677" 0.95 0.91 0.93 0.88
"678" 0.94 0.92 0.83 0.78
"679" 0.97 0.94 0.94 0.9
"680" 0.88 0.91 0.56 0.7
"681" 0.59 0.66 0.39 0.5
