	Chromosome	Start	End	Feature	deltaSHAPE	deltaSHAPE_rep1	average
21	mm10_XIST	5095	5096	deltaSHAPE	-3.3351245285299997	-7.70924401445	-5.52218427149
22	mm10_XIST	5096	5097	deltaSHAPE	-3.17196035669	-3.5846565377800004	-3.3783084472350002
23	mm10_XIST	5238	5239	deltaSHAPE	-0.996547432333	-1.80625096243	-1.4013991973815
24	mm10_XIST	5239	5240	deltaSHAPE	-1.04550948077	-1.81320617185	-1.42935782631
25	mm10_XIST	5483	5484	deltaSHAPE	1.94031252336	1.0696635474	1.50498803538
26	mm10_XIST	5484	5485	deltaSHAPE	1.5631494816	1.17224640301	1.367697942305
27	mm10_XIST	5485	5486	deltaSHAPE	1.4751843187399998	1.4439154167299997	1.4595498677349998
28	mm10_XIST	5669	5670	deltaSHAPE	-2.2233956367900003	-1.7902724907599998	-2.006834063775
29	mm10_XIST	5670	5671	deltaSHAPE	-2.0486422370599997	-1.17624745365	-1.6124448453549998
30	mm10_XIST	5671	5672	deltaSHAPE	-1.65238353314	-0.8382121909929999	-1.2452978620665
31	mm10_XIST	7459	7460	deltaSHAPE	-1.5360937809200002	-1.72711762162	-1.63160570127
32	mm10_XIST	7460	7461	deltaSHAPE	-1.35047934737	-1.71706521325	-1.53377228031
33	mm10_XIST	7461	7462	deltaSHAPE	-0.8347327418539999	-0.980476674819	-0.9076047083365
34	mm10_XIST	7484	7485	deltaSHAPE	-1.0095549999200002	-1.0839339906299998	-1.046744495275
35	mm10_XIST	7485	7486	deltaSHAPE	-1.2053404118100002	-0.9159362574359999	-1.060638334623
36	mm10_XIST	7486	7487	deltaSHAPE	-1.29299221831	-1.13090369256	-1.211947955435
37	mm10_XIST	10272	10273	deltaSHAPE	1.01410679244	1.1750784456399999	1.09459261904
38	mm10_XIST	10292	10293	deltaSHAPE	1.12666347143	1.21029683171	1.1684801515699998
39	mm10_XIST	10293	10294	deltaSHAPE	1.6453108488600001	1.82408313247	1.734696990665
40	mm10_XIST	10294	10295	deltaSHAPE	1.4554547681099999	1.28742659619	1.3714406821499998
41	mm10_XIST	10333	10334	deltaSHAPE	0.9969340418449999	1.51096593934	1.2539499905925
42	mm10_XIST	10334	10335	deltaSHAPE	1.6669503492299997	1.92462392932	1.7957871392749998
43	mm10_XIST	10335	10336	deltaSHAPE	1.48729652518	1.10683894679	1.297067735985
44	mm10_XIST	10476	10477	deltaSHAPE	1.11049005905	1.56506182373	1.33777594139
45	mm10_XIST	10477	10478	deltaSHAPE	1.01730589747	1.11236919273	1.0648375451
46	mm10_XIST	10478	10479	deltaSHAPE	1.00715826912	1.1463125307100002	1.076735399915
47	mm10_XIST	10532	10533	deltaSHAPE	2.73089171626	1.42336463563	2.077128175945
48	mm10_XIST	10533	10534	deltaSHAPE	2.62353231834	1.25565074354	1.93959153094
49	mm10_XIST	10584	10585	deltaSHAPE	11.6658700442	3.07740786761	7.371638955905
50	mm10_XIST	10585	10586	deltaSHAPE	11.0106784883	4.7478339274	7.87925620785
51	mm10_XIST	10586	10587	deltaSHAPE	2.7750938561900003	1.78072256583	2.27790821101
52	mm10_XIST	10587	10588	deltaSHAPE	2.3291963612999997	1.3627461807899999	1.8459712710449998
53	mm10_XIST	10602	10603	deltaSHAPE	5.603706645190001	1.7198543268900002	3.6617804860400005
54	mm10_XIST	10603	10604	deltaSHAPE	5.21243154901	1.7067161736200003	3.459573861315
55	mm10_XIST	10604	10605	deltaSHAPE	4.80525307771	1.31047378786	3.057863432785
56	mm10_XIST	10668	10669	deltaSHAPE	18.2612414337	6.61332590885	12.437283671275
57	mm10_XIST	10669	10670	deltaSHAPE	18.017826043299998	6.4227535496099994	12.220289796454999
58	mm10_XIST	10678	10679	deltaSHAPE	1.3046187018200002	2.20748500862	1.75605185522
59	mm10_XIST	10679	10680	deltaSHAPE	1.60996837273	2.03280832415	1.82138834844
60	mm10_XIST	10707	10708	deltaSHAPE	-5.285557353480001	2.54624218324	-1.3696575851200004
61	mm10_XIST	10708	10709	deltaSHAPE	-5.30034094787	4.024573438319999	-0.6378837547750003
62	mm10_XIST	10709	10710	deltaSHAPE	-4.963383781469999	4.94563478384	-0.008874498814999576
63	mm10_XIST	10710	10711	deltaSHAPE	1.04115794964	2.5998360911700003	1.8204970204050002
64	mm10_XIST	10711	10712	deltaSHAPE	2.53829386157	1.9471940956599998	2.242743978615
65	mm10_XIST	10733	10734	deltaSHAPE	2.5027563871400003	4.31726573518	3.4100110611600005
66	mm10_XIST	10734	10735	deltaSHAPE	4.266426469230001	3.9700985204	4.118262494815
67	mm10_XIST	10735	10736	deltaSHAPE	5.00791314879	4.53810857357	4.7730108611799995
68	mm10_XIST	10785	10786	deltaSHAPE	2.26382637806	1.16645869325	1.715142535655
69	mm10_XIST	10786	10787	deltaSHAPE	1.3566527662399999	1.50000293749	1.4283278518649998
70	mm10_XIST	10787	10788	deltaSHAPE	1.25696908624	1.12290256887	1.189935827555
71	mm10_XIST	10789	10790	deltaSHAPE	1.21316368237	1.1652797076399999	1.189221695005
72	mm10_XIST	10928	10929	deltaSHAPE	1.14149080848	1.22187748786	1.18168414817
73	mm10_XIST	10929	10930	deltaSHAPE	0.974258947535	1.37649600016	1.1753774738475
74	mm10_XIST	10930	10931	deltaSHAPE	1.20288617045	1.80351717656	1.503201673505
75	mm10_XIST	10965	10966	deltaSHAPE	1.5278136044100001	1.56698498499	1.5473992947
76	mm10_XIST	10966	10967	deltaSHAPE	1.4828490892500001	1.40015016652	1.441499627885
77	mm10_XIST	12929	12930	deltaSHAPE	-1.35332749792	-1.41216758905	-1.382747543485
78	mm10_XIST	13195	13196	deltaSHAPE	-1.2897077123799998	-1.0542352033700002	-1.171971457875
79	mm10_XIST	13196	13197	deltaSHAPE	-1.08912334355	-1.50627676523	-1.29770005439
80	mm10_XIST	13197	13198	deltaSHAPE	-1.12510896341	-1.35695251287	-1.24103073814
81	mm10_XIST	13280	13281	deltaSHAPE	-1.2262237716600002	-1.30578420565	-1.266003988655
82	mm10_XIST	13281	13282	deltaSHAPE	-1.33539112424	-1.9095036282900002	-1.6224473762650002
83	mm10_XIST	13661	13662	deltaSHAPE	-0.902535491581	-1.33320531405	-1.1178704028155
84	mm10_XIST	13662	13663	deltaSHAPE	-0.975253753255	-1.52425593838	-1.2497548458175
85	mm10_XIST	13663	13664	deltaSHAPE	-0.87471570124	-1.0628509241500002	-0.9687833126950001
86	mm10_XIST	13702	13703	deltaSHAPE	1.28300775554	1.76498019285	1.523993974195
87	mm10_XIST	13704	13705	deltaSHAPE	1.44793042816	1.35757205645	1.402751242305
88	mm10_XIST	13735	13736	deltaSHAPE	1.29504272984	-1.06644836423	0.11429718280500001
89	mm10_XIST	13736	13737	deltaSHAPE	1.3645280819799999	-1.11233662719	0.12609572739499997
90	mm10_XIST	13737	13738	deltaSHAPE	1.09308957297	-1.5548485229	-0.23087947496499994
91	mm10_XIST	13765	13766	deltaSHAPE	1.60129299678	-0.9306158838959999	0.33533855644200006
92	mm10_XIST	13766	13767	deltaSHAPE	1.14587875832	-1.21813391199	-0.03612757683500001
93	mm10_XIST	13873	13874	deltaSHAPE	-0.8380028855670001	-1.88822429502	-1.3631135902935
94	mm10_XIST	13876	13877	deltaSHAPE	-1.09588829125	1.1355564273	0.019834068024999985
95	mm10_XIST	13939	13940	deltaSHAPE	3.48366095703	3.7242048500699996	3.6039329035499996
96	mm10_XIST	13940	13941	deltaSHAPE	4.417016382	4.01851857843	4.2177674802150005
97	mm10_XIST	13941	13942	deltaSHAPE	4.5578437342900004	3.92308745323	4.24046559376
98	mm10_XIST	13988	13989	deltaSHAPE	1.0409076288299999	1.0342525089899999	1.0375800689099999
99	mm10_XIST	13989	13990	deltaSHAPE	1.0324841310200001	1.35220755432	1.19234584267
100	mm10_XIST	13990	13991	deltaSHAPE	1.71148728917	1.2857917410100002	1.49863951509
101	mm10_XIST	14113	14114	deltaSHAPE	-1.7713391585599998	5.37147027612	1.80006555878
102	mm10_XIST	14114	14115	deltaSHAPE	-2.02399177357	5.57568262658	1.7758454265049999
103	mm10_XIST	14115	14116	deltaSHAPE	-2.29756741555	5.730019714369999	1.7162261494099995
104	mm10_XIST	14138	14139	deltaSHAPE	-1.7420964916599997	-4.15108583677	-2.946591164215
105	mm10_XIST	14139	14140	deltaSHAPE	-1.80133227847	-4.17898243392	-2.990157356195
106	mm10_XIST	14140	14141	deltaSHAPE	-0.843060545211	-5.85682630234	-3.3499434237755
107	mm10_XIST	14187	14188	deltaSHAPE	1.8740562470200002	-0.816701812982	0.5286772170190002
108	mm10_XIST	14188	14189	deltaSHAPE	1.51853078162	-1.43896155249	0.03978461456500004
109	mm10_XIST	14190	14191	deltaSHAPE	-4.82920553628	-1.4496079502700001	-3.139406743275
110	mm10_XIST	14210	14211	deltaSHAPE	1.12613683668	1.46786347873	1.2970001577049999
111	mm10_XIST	14211	14212	deltaSHAPE	1.32505596428	1.7255971688099998	1.525326566545
112	mm10_XIST	14212	14213	deltaSHAPE	2.0566073827799998	1.39622189353	1.7264146381549998
113	mm10_XIST	14237	14238	deltaSHAPE	1.10143410703	-3.17698516643	-1.0377755297000002
114	mm10_XIST	14238	14239	deltaSHAPE	2.0838255101	-5.57166469194	-1.7439195909199998
115	mm10_XIST	14240	14241	deltaSHAPE	1.2441997376	-1.09706787532	0.07356593113999998
116	mm10_XIST	14243	14244	deltaSHAPE	-1.11888092459	-12.0429869286	-6.580933926595
117	mm10_XIST	14244	14245	deltaSHAPE	-2.08630325543	-14.206587490599999	-8.146445373014998
118	mm10_XIST	14245	14246	deltaSHAPE	-1.5902384137299999	-0.78927232384	-1.189755368785
119	mm10_XIST	14246	14247	deltaSHAPE	-1.50140785989	-0.723692115165	-1.1125499875275
120	mm10_XIST	14249	14250	deltaSHAPE	-2.04136639449	-1.6852775472400001	-1.863321970865
121	mm10_XIST	14250	14251	deltaSHAPE	-1.8676464826400003	-1.4636510750100002	-1.6656487788250003
122	mm10_XIST	14251	14252	deltaSHAPE	-1.7321410562400001	-1.12449038779	-1.4283157220150002
123	mm10_XIST	14276	14277	deltaSHAPE	-1.25407016142	1.15358908036	-0.050240540530000044
124	mm10_XIST	14277	14278	deltaSHAPE	-3.6154430815300005	1.29266920435	-1.1613869385900002
125	mm10_XIST	14278	14279	deltaSHAPE	-3.53933515514	1.12057389595	-1.209380629595
126	mm10_XIST	14291	14292	deltaSHAPE	-1.5937425913299998	5.16375728958	1.7850073491250003
127	mm10_XIST	14304	14305	deltaSHAPE	-1.73081266882	2.34581869275	0.30750301196499996
128	mm10_XIST	14305	14306	deltaSHAPE	-4.1305503991000005	2.47789145947	-0.8263294698150003
129	mm10_XIST	14311	14312	deltaSHAPE	-3.84143567792	1.12958193552	-1.3559268711999999
130	mm10_XIST	14355	14356	deltaSHAPE	1.16192940886	-1.11224677807	0.024841315395000008
131	mm10_XIST	14398	14399	deltaSHAPE	-1.45238780794	-2.8882516723	-2.17031974012
132	mm10_XIST	14399	14400	deltaSHAPE	-2.21671271408	-3.7161676250199998	-2.96644016955
133	mm10_XIST	14405	14406	deltaSHAPE	1.92098200773	1.3431841467200003	1.6320830772250001
134	mm10_XIST	14406	14407	deltaSHAPE	1.16129401681	1.9613819127	1.561337964755
135	mm10_XIST	14407	14408	deltaSHAPE	-2.36634677782	2.01630328427	-0.17502174677499993
136	mm10_XIST	14408	14409	deltaSHAPE	-5.11968432578	1.05816079674	-2.03076176452
137	mm10_XIST	14421	14422	deltaSHAPE	-1.6312442819	-1.4304207575499999	-1.530832519725
138	mm10_XIST	14422	14423	deltaSHAPE	-1.16553127889	2.9219838075	0.8782262643050001
139	mm10_XIST	14424	14425	deltaSHAPE	1.3641171209099998	2.0851363967	1.724626758805
140	mm10_XIST	14430	14431	deltaSHAPE	2.4796121820500003	1.9909894675400002	2.2353008247950004
141	mm10_XIST	14431	14432	deltaSHAPE	1.7559233000299999	1.0507342401100002	1.40332877007
142	mm10_XIST	14432	14433	deltaSHAPE	2.09011372676	1.12221244479	1.606163085775
143	mm10_XIST	14466	14467	deltaSHAPE	-0.894102767629	1.75406263974	0.42997993605550006
144	mm10_XIST	14467	14468	deltaSHAPE	-0.9485607807299999	2.16409813929	0.6077686792800001
145	mm10_XIST	14497	14498	deltaSHAPE	1.0528853843500001	2.56506128858	1.808973336465
146	mm10_XIST	14498	14499	deltaSHAPE	2.2219436636400003	3.08329974884	2.65262170624
147	mm10_XIST	14499	14500	deltaSHAPE	1.7877329888599998	3.07693802595	2.432335507405
148	mm10_XIST	14580	14581	deltaSHAPE	1.6825157951700003	2.07450264876	1.878509221965
149	mm10_XIST	14583	14584	deltaSHAPE	1.61651179683	1.02910331548	1.322807556155
150	mm10_XIST	14602	14603	deltaSHAPE	1.17700327562	1.1927867924700002	1.1848950340450002
151	mm10_XIST	14603	14604	deltaSHAPE	2.08936526738	1.8992273145299998	1.994296290955
152	mm10_XIST	14604	14605	deltaSHAPE	2.40459241422	1.8075058197299998	2.106049116975
153	mm10_XIST	14640	14641	deltaSHAPE	-3.5428678479199998	-2.42530836209	-2.984088105005
154	mm10_XIST	14641	14642	deltaSHAPE	-3.9323423585	-2.06628674207	-2.999314550285
155	mm10_XIST	14643	14644	deltaSHAPE	-1.39769257012	1.03491225861	-0.18139015575500006
156	mm10_XIST	14647	14648	deltaSHAPE	1.01058687869	2.20182218181	1.6062045302499999
157	mm10_XIST	14650	14651	deltaSHAPE	-1.71582992922	1.76366344538	0.023916758079999934
158	mm10_XIST	14654	14655	deltaSHAPE	-1.55717263512	1.10096314152	-0.22810474679999992
159	mm10_XIST	14668	14669	deltaSHAPE	3.14208259503	-1.3837995104799998	0.8791415422750002
160	mm10_XIST	14669	14670	deltaSHAPE	3.0184217455	-1.26552995764	0.8764458939299999
161	mm10_XIST	14672	14673	deltaSHAPE	1.02998741628	1.6892608987	1.3596241574899999
162	mm10_XIST	14750	14751	deltaSHAPE	-1.11572104092	-0.860513877982	-0.988117459451
163	mm10_XIST	14846	14847	deltaSHAPE	1.11400898764	-0.737702581581	0.18815320302949995
164	mm10_XIST	14847	14848	deltaSHAPE	0.975385948915	-0.760882171328	0.1072518887935
165	mm10_XIST	14924	14925	deltaSHAPE	1.06678715893	1.66882155072	1.367804354825
166	mm10_XIST	14925	14926	deltaSHAPE	1.22918903968	1.64501681	1.43710292484
167	mm10_XIST	15033	15034	deltaSHAPE	1.4132178249599998	2.02797850366	1.72059816431
168	mm10_XIST	15034	15035	deltaSHAPE	1.40091519159	1.88268098506	1.6417980883249998
169	mm10_XIST	15130	15131	deltaSHAPE	2.58947067138	2.33989289385	2.464681782615
170	mm10_XIST	15131	15132	deltaSHAPE	1.9188853511000001	2.51587446992	2.21737991051
171	mm10_XIST	15132	15133	deltaSHAPE	1.20896011099	2.0480322130400004	1.6284961620150002
172	mm10_XIST	15164	15165	deltaSHAPE	-1.03564203734	-0.8102359857179999	-0.9229390115289999
173	mm10_XIST	15165	15166	deltaSHAPE	-0.9656882209909999	-0.848082875653	-0.906885548322
174	mm10_XIST	15281	15282	deltaSHAPE	-1.0454858626	-0.822510678853	-0.9339982707265
175	mm10_XIST	15380	15381	deltaSHAPE	-1.76862264363	-1.18423338478	-1.4764280142050001
176	mm10_XIST	15381	15382	deltaSHAPE	-2.4694098763900003	-1.31551084134	-1.8924603588650002
177	mm10_XIST	15382	15383	deltaSHAPE	-3.6340043307800003	-1.27427072073	-2.454137525755
178	mm10_XIST	15749	15750	deltaSHAPE	1.05212937139	-0.832782251328	0.10967356003099998
179	mm10_XIST	15751	15752	deltaSHAPE	-1.3979075134	-1.2592964257700001	-1.3286019695850002
180	mm10_XIST	15752	15753	deltaSHAPE	-1.3531291167100001	-1.16332331835	-1.25822621753
181	mm10_XIST	15758	15759	deltaSHAPE	2.20942466216	-0.902541185273	0.6534417384435001
182	mm10_XIST	15760	15761	deltaSHAPE	1.4358000591	-1.59490081744	-0.07955037916999996
183	mm10_XIST	15806	15807	deltaSHAPE	-1.31045030103	-2.71867233506	-2.0145613180449997
184	mm10_XIST	15807	15808	deltaSHAPE	-1.8367045891299998	-2.5734700194099998	-2.2050873042699997
185	mm10_XIST	15808	15809	deltaSHAPE	-2.55532401833	-1.9806265296099999	-2.26797527397
186	mm10_XIST	17080	17081	deltaSHAPE	-1.19956176699	-0.954097509255	-1.0768296381225
187	mm10_XIST	17081	17082	deltaSHAPE	-0.870374341804	-1.0045172573299999	-0.9374457995669999
188	mm10_XIST	17082	17083	deltaSHAPE	-0.9056158034540001	-0.9830246637029999	-0.9443202335784999
189	mm10_XIST	17304	17305	deltaSHAPE	1.16622863911	1.4090784730700001	1.28765355609
